#"FID1 - B:Signal #1 LEO_027_1eq_01h.D"
#Point,X(Minutes),Y(Response Units)
0,0.0000,71356
1,0.0003,71342
2,0.0007,71318
3,0.0010,71338
4,0.0013,71292
5,0.0017,71324
6,0.0020,71280
7,0.0023,71338
8,0.0027,71366
9,0.0030,71430
10,0.0033,71422
11,0.0037,71428
12,0.0040,71381
13,0.0043,71343
14,0.0047,71273
15,0.0050,71277
16,0.0053,71268
17,0.0057,71356
18,0.0060,71326
19,0.0063,71352
20,0.0067,71236
21,0.0070,71392
22,0.0073,71383
23,0.0077,71429
24,0.0080,71297
25,0.0083,71340
26,0.0087,71317
27,0.0090,71451
28,0.0093,71528
29,0.0097,71830
30,0.0100,71521
31,0.0103,71431
32,0.0107,71096
33,0.0110,71305
34,0.0113,71276
35,0.0117,71441
36,0.0120,71355
37,0.0123,71324
38,0.0127,71195
39,0.0130,71202
40,0.0133,71220
41,0.0137,71298
42,0.0140,71421
43,0.0143,71435
44,0.0147,71469
45,0.0150,71371
46,0.0153,71426
47,0.0157,71328
48,0.0160,71317
49,0.0163,71320
50,0.0167,71323
51,0.0170,71307
52,0.0173,71226
53,0.0177,71313
54,0.0180,71351
55,0.0183,71434
56,0.0187,71287
57,0.0190,71262
58,0.0193,71178
59,0.0197,71232
60,0.0200,71350
61,0.0203,71310
62,0.0207,71355
63,0.0210,71272
64,0.0213,71398
65,0.0217,71329
66,0.0220,71313
67,0.0223,71229
68,0.0227,71297
69,0.0230,71287
70,0.0233,71305
71,0.0237,71317
72,0.0240,71458
73,0.0243,71426
74,0.0247,71326
75,0.0250,71184
76,0.0253,71234
77,0.0257,71306
78,0.0260,71391
79,0.0263,71477
80,0.0267,71422
81,0.0270,71292
82,0.0273,71295
83,0.0277,71370
84,0.0280,71484
85,0.0283,71300
86,0.0287,71356
87,0.0290,71346
88,0.0293,71466
89,0.0297,71380
90,0.0300,71403
91,0.0303,71315
92,0.0307,71307
93,0.0310,71346
94,0.0313,71362
95,0.0317,71308
96,0.0320,71226
97,0.0323,71258
98,0.0327,71306
99,0.0330,71387
100,0.0333,71352
101,0.0337,71345
102,0.0340,71261
103,0.0343,71353
104,0.0347,71387
105,0.0350,71410
106,0.0353,71470
107,0.0357,71423
108,0.0360,71368
109,0.0363,71267
110,0.0367,71223
111,0.0370,71261
112,0.0373,71187
113,0.0377,71352
114,0.0380,71348
115,0.0383,71348
116,0.0387,71184
117,0.0390,71206
118,0.0393,71204
119,0.0397,71401
120,0.0400,71303
121,0.0403,71364
122,0.0407,71213
123,0.0410,71274
124,0.0413,71231
125,0.0417,71233
126,0.0420,71345
127,0.0423,71358
128,0.0427,71388
129,0.0430,71279
130,0.0433,71276
131,0.0437,71181
132,0.0440,71284
133,0.0443,71432
134,0.0447,71507
135,0.0450,71359
136,0.0453,71265
137,0.0457,71227
138,0.0460,71255
139,0.0463,71247
140,0.0467,71237
141,0.0470,71220
142,0.0473,71183
143,0.0477,71197
144,0.0480,71263
145,0.0483,71283
146,0.0487,71457
147,0.0490,71422
148,0.0493,71385
149,0.0497,71327
150,0.0500,71344
151,0.0503,71412
152,0.0507,71359
153,0.0510,71470
154,0.0513,71422
155,0.0517,71420
156,0.0520,71254
157,0.0523,71316
158,0.0527,71294
159,0.0530,71428
160,0.0533,71292
161,0.0537,71209
162,0.0540,71114
163,0.0543,71189
164,0.0547,71254
165,0.0550,71204
166,0.0553,71303
167,0.0557,71293
168,0.0560,71341
169,0.0563,71202
170,0.0567,71259
171,0.0570,71260
172,0.0573,71305
173,0.0577,71363
174,0.0580,71381
175,0.0583,71344
176,0.0587,71297
177,0.0590,71333
178,0.0593,71388
179,0.0597,71453
180,0.0600,71391
181,0.0603,71358
182,0.0607,71283
183,0.0610,71277
184,0.0613,71297
185,0.0617,71265
186,0.0620,71380
187,0.0623,71396
188,0.0627,71389
189,0.0630,71250
190,0.0633,71252
191,0.0637,71253
192,0.0640,71344
193,0.0643,71461
194,0.0647,71503
195,0.0650,71454
196,0.0653,71350
197,0.0657,71305
198,0.0660,71281
199,0.0663,71339
200,0.0667,71320
201,0.0670,71320
202,0.0673,71166
203,0.0677,71212
204,0.0680,71259
205,0.0683,71385
206,0.0687,71507
207,0.0690,71543
208,0.0693,71497
209,0.0697,71429
210,0.0700,71366
211,0.0703,71398
212,0.0707,71320
213,0.0710,71399
214,0.0713,71391
215,0.0717,71382
216,0.0720,71349
217,0.0723,71307
218,0.0727,71314
219,0.0730,71374
220,0.0733,71394
221,0.0737,71350
222,0.0740,71255
223,0.0743,71220
224,0.0747,71306
225,0.0750,71320
226,0.0753,71422
227,0.0757,71388
228,0.0760,71385
229,0.0763,71290
230,0.0767,71292
231,0.0770,71293
232,0.0773,71301
233,0.0777,71427
234,0.0780,71358
235,0.0783,71324
236,0.0787,71191
237,0.0790,71214
238,0.0793,71229
239,0.0797,71344
240,0.0800,71370
241,0.0803,71317
242,0.0807,71199
243,0.0810,71220
244,0.0813,71323
245,0.0817,71346
246,0.0820,71452
247,0.0823,71402
248,0.0827,71356
249,0.0830,71209
250,0.0833,71246
251,0.0837,71303
252,0.0840,71353
253,0.0843,71370
254,0.0847,71430
255,0.0850,71418
256,0.0853,71356
257,0.0857,71296
258,0.0860,71242
259,0.0863,71272
260,0.0867,71238
261,0.0870,71386
262,0.0873,71392
263,0.0877,71390
264,0.0880,71255
265,0.0883,71256
266,0.0887,71285
267,0.0890,71270
268,0.0893,71274
269,0.0897,71341
270,0.0900,71426
271,0.0903,71395
272,0.0907,71318
273,0.0910,71283
274,0.0913,71339
275,0.0917,71352
276,0.0920,71436
277,0.0923,71409
278,0.0927,71315
279,0.0930,71230
280,0.0933,71264
281,0.0937,71382
282,0.0940,71412
283,0.0943,71406
284,0.0947,71482
285,0.0950,71473
286,0.0953,71414
287,0.0957,71323
288,0.0960,71328
289,0.0963,71411
290,0.0967,71462
291,0.0970,71479
292,0.0973,71571
293,0.0977,71476
294,0.0980,71422
295,0.0983,71291
296,0.0987,71343
297,0.0990,71364
298,0.0993,71357
299,0.0997,71420
300,0.1000,71455
301,0.1003,71457
302,0.1007,71397
303,0.1010,71375
304,0.1013,71362
305,0.1017,71308
306,0.1020,71286
307,0.1023,71338
308,0.1027,71323
309,0.1030,71324
310,0.1033,71307
311,0.1037,71341
312,0.1040,71312
313,0.1043,71297
314,0.1047,71303
315,0.1050,71430
316,0.1053,71381
317,0.1057,71355
318,0.1060,71234
319,0.1063,71287
320,0.1067,71349
321,0.1070,71390
322,0.1073,71486
323,0.1077,71440
324,0.1080,71361
325,0.1083,71230
326,0.1087,71207
327,0.1090,71265
328,0.1093,71301
329,0.1097,71274
330,0.1100,71351
331,0.1103,71336
332,0.1107,71390
333,0.1110,71336
334,0.1113,71320
335,0.1117,71312
336,0.1120,71334
337,0.1123,71351
338,0.1127,71394
339,0.1130,71319
340,0.1133,71275
341,0.1137,71263
342,0.1140,71299
343,0.1143,71358
344,0.1147,71372
345,0.1150,71369
346,0.1153,71468
347,0.1157,71442
348,0.1160,71378
349,0.1163,71194
350,0.1167,71155
351,0.1170,71220
352,0.1173,71292
353,0.1177,71401
354,0.1180,71473
355,0.1183,71428
356,0.1187,71344
357,0.1190,71275
358,0.1193,71319
359,0.1197,71357
360,0.1200,71405
361,0.1203,71491
362,0.1207,71539
363,0.1210,71486
364,0.1213,71368
365,0.1217,71302
366,0.1220,71355
367,0.1223,71390
368,0.1227,71404
369,0.1230,71427
370,0.1233,71454
371,0.1237,71409
372,0.1240,71374
373,0.1243,71343
374,0.1247,71355
375,0.1250,71357
376,0.1253,71365
377,0.1257,71474
378,0.1260,71483
379,0.1263,71454
380,0.1267,71367
381,0.1270,71391
382,0.1273,71452
383,0.1277,71481
384,0.1280,71451
385,0.1283,71509
386,0.1287,71505
387,0.1290,71454
388,0.1293,71365
389,0.1297,71385
390,0.1300,71432
391,0.1303,71459
392,0.1307,71486
393,0.1310,71457
394,0.1313,71360
395,0.1317,71315
396,0.1320,71296
397,0.1323,71402
398,0.1327,71454
399,0.1330,71476
400,0.1333,71532
401,0.1337,71444
402,0.1340,71394
403,0.1343,71319
404,0.1347,71347
405,0.1350,71398
406,0.1353,71392
407,0.1357,71455
408,0.1360,71483
409,0.1363,71444
410,0.1367,71340
411,0.1370,71307
412,0.1373,71282
413,0.1377,71304
414,0.1380,71246
415,0.1383,71323
416,0.1387,71332
417,0.1390,71337
418,0.1393,71262
419,0.1397,71224
420,0.1400,71279
421,0.1403,71342
422,0.1407,71455
423,0.1410,71467
424,0.1413,71398
425,0.1417,71322
426,0.1420,71325
427,0.1423,71373
428,0.1427,71384
429,0.1430,71434
430,0.1433,71503
431,0.1437,71393
432,0.1440,71286
433,0.1443,71175
434,0.1447,71205
435,0.1450,71298
436,0.1453,71393
437,0.1457,71370
438,0.1460,71273
439,0.1463,71205
440,0.1467,71278
441,0.1470,71353
442,0.1473,71454
443,0.1477,71506
444,0.1480,71416
445,0.1483,71296
446,0.1487,71232
447,0.1490,71272
448,0.1493,71283
449,0.1497,71365
450,0.1500,71375
451,0.1503,71363
452,0.1507,71327
453,0.1510,71337
454,0.1513,71391
455,0.1517,71509
456,0.1520,71497
457,0.1523,71411
458,0.1527,71193
459,0.1530,71170
460,0.1533,71201
461,0.1537,71309
462,0.1540,71353
463,0.1543,71349
464,0.1547,71300
465,0.1550,71263
466,0.1553,71260
467,0.1557,71257
468,0.1560,71345
469,0.1563,71434
470,0.1567,71379
471,0.1570,71293
472,0.1573,71228
473,0.1577,71308
474,0.1580,71390
475,0.1583,71449
476,0.1587,71372
477,0.1590,71313
478,0.1593,71297
479,0.1597,71381
480,0.1600,71425
481,0.1603,71426
482,0.1607,71339
483,0.1610,71243
484,0.1613,71219
485,0.1617,71261
486,0.1620,71373
487,0.1623,71407
488,0.1627,71398
489,0.1630,71365
490,0.1633,71352
491,0.1637,71405
492,0.1640,71433
493,0.1643,71430
494,0.1647,71345
495,0.1650,71284
496,0.1653,71230
497,0.1657,71311
498,0.1660,71338
499,0.1663,71415
500,0.1667,71368
501,0.1670,71320
502,0.1673,71266
503,0.1677,71404
504,0.1680,71465
505,0.1683,71431
506,0.1687,71311
507,0.1690,71253
508,0.1693,71244
509,0.1697,71326
510,0.1700,71391
511,0.1703,71388
512,0.1707,71272
513,0.1710,71172
514,0.1713,71212
515,0.1717,71342
516,0.1720,71446
517,0.1723,71403
518,0.1727,71324
519,0.1730,71273
520,0.1733,71370
521,0.1737,71413
522,0.1740,71472
523,0.1743,71367
524,0.1747,71349
525,0.1750,71298
526,0.1753,71383
527,0.1757,71389
528,0.1760,71476
529,0.1763,71408
530,0.1767,71379
531,0.1770,71288
532,0.1773,71336
533,0.1777,71317
534,0.1780,71327
535,0.1783,71222
536,0.1787,71249
537,0.1790,71153
538,0.1793,71257
539,0.1797,71261
540,0.1800,71380
541,0.1803,71323
542,0.1807,71283
543,0.1810,71234
544,0.1813,71297
545,0.1817,71406
546,0.1820,71478
547,0.1823,71474
548,0.1827,71400
549,0.1830,71352
550,0.1833,71397
551,0.1837,71502
552,0.1840,71536
553,0.1843,71428
554,0.1847,71297
555,0.1850,71268
556,0.1853,71394
557,0.1857,71502
558,0.1860,71436
559,0.1863,71330
560,0.1867,71169
561,0.1870,71161
562,0.1873,71236
563,0.1877,71328
564,0.1880,71292
565,0.1883,71236
566,0.1887,71238
567,0.1890,71312
568,0.1893,71417
569,0.1897,71433
570,0.1900,71435
571,0.1903,71329
572,0.1907,71210
573,0.1910,71217
574,0.1913,71252
575,0.1917,71240
576,0.1920,71238
577,0.1923,71190
578,0.1927,71290
579,0.1930,71362
580,0.1933,71327
581,0.1937,71310
582,0.1940,71223
583,0.1943,71315
584,0.1947,71370
585,0.1950,71459
586,0.1953,71390
587,0.1957,71314
588,0.1960,71173
589,0.1963,71281
590,0.1967,71367
591,0.1970,71387
592,0.1973,71313
593,0.1977,71275
594,0.1980,71376
595,0.1983,71430
596,0.1987,71319
597,0.1990,71301
598,0.1993,71277
599,0.1997,71400
600,0.2000,71443
601,0.2003,71361
602,0.2007,71364
603,0.2010,71319
604,0.2013,71447
605,0.2017,71502
606,0.2020,71591
607,0.2023,71462
608,0.2027,71369
609,0.2030,71270
610,0.2033,71391
611,0.2037,71465
612,0.2040,71426
613,0.2043,71424
614,0.2047,71393
615,0.2050,71409
616,0.2053,71464
617,0.2057,71365
618,0.2060,71398
619,0.2063,71293
620,0.2067,71396
621,0.2070,71445
622,0.2073,71398
623,0.2077,71337
624,0.2080,71265
625,0.2083,71309
626,0.2087,71302
627,0.2090,71381
628,0.2093,71353
629,0.2097,71367
630,0.2100,71288
631,0.2103,71346
632,0.2107,71381
633,0.2110,71349
634,0.2113,71302
635,0.2117,71274
636,0.2120,71352
637,0.2123,71443
638,0.2127,71400
639,0.2130,71349
640,0.2133,71265
641,0.2137,71334
642,0.2140,71388
643,0.2143,71350
644,0.2147,71334
645,0.2150,71265
646,0.2153,71330
647,0.2157,71347
648,0.2160,71437
649,0.2163,71365
650,0.2167,71329
651,0.2170,71254
652,0.2173,71340
653,0.2177,71374
654,0.2180,71291
655,0.2183,71220
656,0.2187,71133
657,0.2190,71252
658,0.2193,71377
659,0.2197,71355
660,0.2200,71336
661,0.2203,71230
662,0.2207,71290
663,0.2210,71317
664,0.2213,71376
665,0.2217,71299
666,0.2220,71229
667,0.2223,71202
668,0.2227,71365
669,0.2230,71460
670,0.2233,71403
671,0.2237,71303
672,0.2240,71177
673,0.2243,71271
674,0.2247,71369
675,0.2250,71384
676,0.2253,71335
677,0.2257,71246
678,0.2260,71318
679,0.2263,71402
680,0.2267,71292
681,0.2270,71249
682,0.2273,71192
683,0.2277,71303
684,0.2280,71341
685,0.2283,71365
686,0.2287,71327
687,0.2290,71323
688,0.2293,71252
689,0.2297,71299
690,0.2300,71335
691,0.2303,71287
692,0.2307,71331
693,0.2310,71266
694,0.2313,71420
695,0.2317,71451
696,0.2320,71405
697,0.2323,71346
698,0.2327,71308
699,0.2330,71400
700,0.2333,71417
701,0.2337,71317
702,0.2340,71295
703,0.2343,71288
704,0.2347,71397
705,0.2350,71423
706,0.2353,71401
707,0.2357,71269
708,0.2360,71246
709,0.2363,71212
710,0.2367,71342
711,0.2370,71423
712,0.2373,71377
713,0.2377,71392
714,0.2380,71260
715,0.2383,71331
716,0.2387,71358
717,0.2390,71359
718,0.2393,71385
719,0.2397,71343
720,0.2400,71424
721,0.2403,71483
722,0.2407,71405
723,0.2410,71337
724,0.2413,71257
725,0.2417,71367
726,0.2420,71437
727,0.2423,71527
728,0.2427,71449
729,0.2430,71448
730,0.2433,71317
731,0.2437,71366
732,0.2440,71403
733,0.2443,71425
734,0.2447,71405
735,0.2450,71242
736,0.2453,71270
737,0.2457,71316
738,0.2460,71279
739,0.2463,71241
740,0.2467,71192
741,0.2470,71326
742,0.2473,71440
743,0.2477,71420
744,0.2480,71412
745,0.2483,71298
746,0.2487,71341
747,0.2490,71327
748,0.2493,71446
749,0.2497,71362
750,0.2500,71346
751,0.2503,71235
752,0.2507,71321
753,0.2510,71405
754,0.2513,71379
755,0.2517,71381
756,0.2520,71339
757,0.2523,71435
758,0.2527,71490
759,0.2530,71397
760,0.2533,71336
761,0.2537,71280
762,0.2540,71372
763,0.2543,71461
764,0.2547,71384
765,0.2550,71384
766,0.2553,71286
767,0.2557,71387
768,0.2560,71431
769,0.2563,71384
770,0.2567,71298
771,0.2570,71245
772,0.2573,71329
773,0.2577,71423
774,0.2580,71334
775,0.2583,71321
776,0.2587,71227
777,0.2590,71330
778,0.2593,71381
779,0.2597,71357
780,0.2600,71334
781,0.2603,71289
782,0.2607,71396
783,0.2610,71456
784,0.2613,71361
785,0.2617,71240
786,0.2620,71148
787,0.2623,71231
788,0.2627,71368
789,0.2630,71314
790,0.2633,71308
791,0.2637,71219
792,0.2640,71386
793,0.2643,71487
794,0.2647,71439
795,0.2650,71325
796,0.2653,71213
797,0.2657,71310
798,0.2660,71414
799,0.2663,71396
800,0.2667,71364
801,0.2670,71347
802,0.2673,71431
803,0.2677,71565
804,0.2680,71456
805,0.2683,71406
806,0.2687,71269
807,0.2690,71369
808,0.2693,71464
809,0.2697,71457
810,0.2700,71411
811,0.2703,71337
812,0.2707,71390
813,0.2710,71464
814,0.2713,71370
815,0.2717,71350
816,0.2720,71279
817,0.2723,71393
818,0.2727,71463
819,0.2730,71433
820,0.2733,71424
821,0.2737,71347
822,0.2740,71422
823,0.2743,71494
824,0.2747,71434
825,0.2750,71380
826,0.2753,71289
827,0.2757,71361
828,0.2760,71437
829,0.2763,71346
830,0.2767,71372
831,0.2770,71292
832,0.2773,71434
833,0.2777,71504
834,0.2780,71456
835,0.2783,71410
836,0.2787,71305
837,0.2790,71348
838,0.2793,71368
839,0.2797,71248
840,0.2800,71238
841,0.2803,71186
842,0.2807,71342
843,0.2810,71439
844,0.2813,71526
845,0.2817,71419
846,0.2820,71382
847,0.2823,71302
848,0.2827,71419
849,0.2830,71509
850,0.2833,71443
851,0.2837,71440
852,0.2840,71320
853,0.2843,71376
854,0.2847,71409
855,0.2850,71354
856,0.2853,71420
857,0.2857,71365
858,0.2860,71442
859,0.2863,71441
860,0.2867,71549
861,0.2870,71444
862,0.2873,71381
863,0.2877,71296
864,0.2880,71409
865,0.2883,71526
866,0.2887,71420
867,0.2890,71435
868,0.2893,71374
869,0.2897,71396
870,0.2900,71404
871,0.2903,71484
872,0.2907,71457
873,0.2910,71394
874,0.2913,71308
875,0.2917,71399
876,0.2920,71510
877,0.2923,71413
878,0.2927,71384
879,0.2930,71306
880,0.2933,71410
881,0.2937,71493
882,0.2940,71381
883,0.2943,71352
884,0.2947,71285
885,0.2950,71433
886,0.2953,71514
887,0.2957,71442
888,0.2960,71388
889,0.2963,71311
890,0.2967,71415
891,0.2970,71509
892,0.2973,71612
893,0.2977,71547
894,0.2980,71454
895,0.2983,71353
896,0.2987,71356
897,0.2990,71445
898,0.2993,71352
899,0.2997,71371
900,0.3000,71275
901,0.3003,71426
902,0.3007,71594
903,0.3010,71587
904,0.3013,71531
905,0.3017,71346
906,0.3020,71399
907,0.3023,71476
908,0.3027,71393
909,0.3030,71330
910,0.3033,71254
911,0.3037,71418
912,0.3040,71552
913,0.3043,71471
914,0.3047,71436
915,0.3050,71329
916,0.3053,71444
917,0.3057,71477
918,0.3060,71403
919,0.3063,71307
920,0.3067,71215
921,0.3070,71278
922,0.3073,71457
923,0.3077,71376
924,0.3080,71327
925,0.3083,71178
926,0.3087,71343
927,0.3090,71461
928,0.3093,71425
929,0.3097,71356
930,0.3100,71309
931,0.3103,71325
932,0.3107,71340
933,0.3110,71393
934,0.3113,71369
935,0.3117,71366
936,0.3120,71289
937,0.3123,71373
938,0.3127,71425
939,0.3130,71307
940,0.3133,71239
941,0.3137,71188
942,0.3140,71355
943,0.3143,71527
944,0.3147,71467
945,0.3150,71400
946,0.3153,71243
947,0.3157,71290
948,0.3160,71420
949,0.3163,71353
950,0.3167,71337
951,0.3170,71231
952,0.3173,71313
953,0.3177,71358
954,0.3180,71461
955,0.3183,71386
956,0.3187,71321
957,0.3190,71234
958,0.3193,71334
959,0.3197,71479
960,0.3200,71370
961,0.3203,71366
962,0.3207,71310
963,0.3210,71425
964,0.3213,71571
965,0.3217,71448
966,0.3220,71411
967,0.3223,71282
968,0.3227,71364
969,0.3230,71476
970,0.3233,71350
971,0.3237,71397
972,0.3240,71324
973,0.3243,71425
974,0.3247,71364
975,0.3250,71453
976,0.3253,71383
977,0.3257,71373
978,0.3260,71235
979,0.3263,71285
980,0.3267,71427
981,0.3270,71335
982,0.3273,71358
983,0.3277,71223
984,0.3280,71351
985,0.3283,71462
986,0.3287,71400
987,0.3290,71367
988,0.3293,71251
989,0.3297,71316
990,0.3300,71462
991,0.3303,71428
992,0.3307,71454
993,0.3310,71282
994,0.3313,71276
995,0.3317,71215
996,0.3320,71358
997,0.3323,71312
998,0.3327,71407
999,0.3330,71322
1000,0.3333,71459
1001,0.3337,71552
1002,0.3340,71468
1003,0.3343,71421
1004,0.3347,71266
1005,0.3350,71358
1006,0.3353,71495
1007,0.3357,71449
1008,0.3360,71447
1009,0.3363,71292
1010,0.3367,71339
1011,0.3370,71425
1012,0.3373,71338
1013,0.3377,71334
1014,0.3380,71226
1015,0.3383,71322
1016,0.3387,71413
1017,0.3390,71341
1018,0.3393,71325
1019,0.3397,71207
1020,0.3400,71306
1021,0.3403,71509
1022,0.3407,71484
1023,0.3410,71489
1024,0.3413,71313
1025,0.3417,71419
1026,0.3420,71479
1027,0.3423,71407
1028,0.3427,71344
1029,0.3430,71243
1030,0.3433,71339
1031,0.3437,71489
1032,0.3440,71366
1033,0.3443,71287
