#"FID1 - B:Signal #1 LEO_027_1eq_03h.D"
#Point,X(Minutes),Y(Response Units)
0,0.0000,70278
1,0.0003,70282
2,0.0007,70226
3,0.0010,70187
4,0.0013,70126
5,0.0017,70168
6,0.0020,70209
7,0.0023,70306
8,0.0027,70344
9,0.0030,70350
10,0.0033,70284
11,0.0037,70264
12,0.0040,70242
13,0.0043,70244
14,0.0047,70232
15,0.0050,70182
16,0.0053,70122
17,0.0057,70068
18,0.0060,70117
19,0.0063,70162
20,0.0067,70192
21,0.0070,70143
22,0.0073,70273
23,0.0077,70201
24,0.0080,70287
25,0.0083,70167
26,0.0087,70286
27,0.0090,70332
28,0.0093,70353
29,0.0097,70532
30,0.0100,70269
31,0.0103,70218
32,0.0107,69976
33,0.0110,70130
34,0.0113,70153
35,0.0117,70161
36,0.0120,70345
37,0.0123,70333
38,0.0127,70367
39,0.0130,70243
40,0.0133,70224
41,0.0137,70086
42,0.0140,70081
43,0.0143,70115
44,0.0147,70320
45,0.0150,70201
46,0.0153,70113
47,0.0157,70103
48,0.0160,70127
49,0.0163,70282
50,0.0167,70201
51,0.0170,70199
52,0.0173,70086
53,0.0177,70183
54,0.0180,70206
55,0.0183,70354
56,0.0187,70111
57,0.0190,70229
58,0.0193,70053
59,0.0197,70190
60,0.0200,70146
61,0.0203,70243
62,0.0207,70258
63,0.0210,70233
64,0.0213,70181
65,0.0217,70150
66,0.0220,70316
67,0.0223,70306
68,0.0227,70337
69,0.0230,70148
70,0.0233,70160
71,0.0237,70126
72,0.0240,70160
73,0.0243,70236
74,0.0247,70354
75,0.0250,70189
76,0.0253,70111
77,0.0257,70085
78,0.0260,70303
79,0.0263,70327
80,0.0267,70275
81,0.0270,70276
82,0.0273,70211
83,0.0277,70233
84,0.0280,70180
85,0.0283,70272
86,0.0287,70280
87,0.0290,70291
88,0.0293,70472
89,0.0297,70338
90,0.0300,70322
91,0.0303,70110
92,0.0307,70202
93,0.0310,70173
94,0.0313,70207
95,0.0317,70349
96,0.0320,70279
97,0.0323,70302
98,0.0327,70157
99,0.0330,70267
100,0.0333,70223
101,0.0337,70225
102,0.0340,70315
103,0.0343,70168
104,0.0347,70105
105,0.0350,70072
106,0.0353,70213
107,0.0357,70291
108,0.0360,70299
109,0.0363,70195
110,0.0367,70151
111,0.0370,70024
112,0.0373,70126
113,0.0377,70168
114,0.0380,70203
115,0.0383,70324
116,0.0387,70229
117,0.0390,70183
118,0.0393,70043
119,0.0397,70115
120,0.0400,70117
121,0.0403,70104
122,0.0407,70287
123,0.0410,70211
124,0.0413,70236
125,0.0417,70013
126,0.0420,70107
127,0.0423,70120
128,0.0427,70331
129,0.0430,70316
130,0.0433,70371
131,0.0437,70228
132,0.0440,70213
133,0.0443,70162
134,0.0447,70121
135,0.0450,70356
136,0.0453,70284
137,0.0457,70343
138,0.0460,70103
139,0.0463,70178
140,0.0467,70110
141,0.0470,70136
142,0.0473,70257
143,0.0477,70192
144,0.0480,70190
145,0.0483,70018
146,0.0487,70126
147,0.0490,70139
148,0.0493,70284
149,0.0497,70162
150,0.0500,70193
151,0.0503,70065
152,0.0507,70213
153,0.0510,70215
154,0.0513,70249
155,0.0517,70209
156,0.0520,70341
157,0.0523,70231
158,0.0527,70248
159,0.0530,70069
160,0.0533,70182
161,0.0537,70190
162,0.0540,70215
163,0.0543,70352
164,0.0547,70219
165,0.0550,70212
166,0.0553,70024
167,0.0557,70117
168,0.0560,70086
169,0.0563,70130
170,0.0567,70229
171,0.0570,70171
172,0.0573,70106
173,0.0577,69990
174,0.0580,70092
175,0.0583,70187
176,0.0587,70198
177,0.0590,70174
178,0.0593,70291
179,0.0597,70199
180,0.0600,70219
181,0.0603,70036
182,0.0607,70163
183,0.0610,70189
184,0.0613,70218
185,0.0617,70340
186,0.0620,70229
187,0.0623,70195
188,0.0627,70065
189,0.0630,70113
190,0.0633,70151
191,0.0637,70203
192,0.0640,70305
193,0.0643,70431
194,0.0647,70320
195,0.0650,70260
196,0.0653,70104
197,0.0657,70152
198,0.0660,70133
199,0.0663,70197
200,0.0667,70250
201,0.0670,70486
202,0.0673,70360
203,0.0677,70328
204,0.0680,70063
205,0.0683,70163
206,0.0687,70133
207,0.0690,70224
208,0.0693,70228
209,0.0697,70440
210,0.0700,70332
211,0.0703,70340
212,0.0707,70167
213,0.0710,70213
214,0.0713,70219
215,0.0717,70172
216,0.0720,70228
217,0.0723,70326
218,0.0727,70276
219,0.0730,70253
220,0.0733,70171
221,0.0737,70276
222,0.0740,70302
223,0.0743,70258
224,0.0747,70250
225,0.0750,70167
226,0.0753,70304
227,0.0757,70209
228,0.0760,70232
229,0.0763,70098
230,0.0767,70170
231,0.0770,70258
232,0.0773,70259
233,0.0777,70240
234,0.0780,70243
235,0.0783,70180
236,0.0787,70175
237,0.0790,70094
238,0.0793,70151
239,0.0797,70164
240,0.0800,70099
241,0.0803,70106
242,0.0807,70082
243,0.0810,70248
244,0.0813,70192
245,0.0817,70168
246,0.0820,70067
247,0.0823,70093
248,0.0827,70198
249,0.0830,70222
250,0.0833,70239
251,0.0837,70163
252,0.0840,70330
253,0.0843,70229
254,0.0847,70299
255,0.0850,70077
256,0.0853,70139
257,0.0857,70082
258,0.0860,70143
259,0.0863,70153
260,0.0867,70147
261,0.0870,70253
262,0.0873,70156
263,0.0877,70163
264,0.0880,69998
265,0.0883,70156
266,0.0887,70154
267,0.0890,70207
268,0.0893,70213
269,0.0897,70328
270,0.0900,70329
271,0.0903,70523
272,0.0907,70304
273,0.0910,70275
274,0.0913,70063
275,0.0917,70222
276,0.0920,70274
277,0.0923,70312
278,0.0927,70305
279,0.0930,70257
280,0.0933,70388
281,0.0937,70253
282,0.0940,70249
283,0.0943,70065
284,0.0947,70173
285,0.0950,70181
286,0.0953,70187
287,0.0957,70175
288,0.0960,70247
289,0.0963,70366
290,0.0967,70309
291,0.0970,70214
292,0.0973,70066
293,0.0977,70126
294,0.0980,70178
295,0.0983,70228
296,0.0987,70257
297,0.0990,70276
298,0.0993,70410
299,0.0997,70315
300,0.1000,70275
301,0.1003,70121
302,0.1007,70200
303,0.1010,70245
304,0.1013,70225
305,0.1017,70255
306,0.1020,70387
307,0.1023,70333
308,0.1027,70284
309,0.1030,70099
310,0.1033,70173
311,0.1037,70175
312,0.1040,70233
313,0.1043,70245
314,0.1047,70443
315,0.1050,70333
316,0.1053,70361
317,0.1057,70152
318,0.1060,70156
319,0.1063,70060
320,0.1067,70093
321,0.1070,70150
322,0.1073,70174
323,0.1077,70347
324,0.1080,70224
325,0.1083,70314
326,0.1087,70130
327,0.1090,70280
328,0.1093,70229
329,0.1097,70257
330,0.1100,70192
331,0.1103,70344
332,0.1107,70259
333,0.1110,70296
334,0.1113,70160
335,0.1117,70200
336,0.1120,70226
337,0.1123,70193
338,0.1127,70234
339,0.1130,70322
340,0.1133,70281
341,0.1137,70235
342,0.1140,70114
343,0.1143,70136
344,0.1147,70145
345,0.1150,70165
346,0.1153,70215
347,0.1157,70272
348,0.1160,70430
349,0.1163,70357
350,0.1167,70327
351,0.1170,70200
352,0.1173,70251
353,0.1177,70286
354,0.1180,70245
355,0.1183,70212
356,0.1187,70265
357,0.1190,70161
358,0.1193,70211
359,0.1197,70083
360,0.1200,70191
361,0.1203,70124
362,0.1207,70191
363,0.1210,70170
364,0.1213,70390
365,0.1217,70290
366,0.1220,70364
367,0.1223,70212
368,0.1227,70324
369,0.1230,70248
370,0.1233,70192
371,0.1237,70118
372,0.1240,70126
373,0.1243,70321
374,0.1247,70247
375,0.1250,70282
376,0.1253,70103
377,0.1257,70241
378,0.1260,70189
379,0.1263,70196
380,0.1267,70140
381,0.1270,70301
382,0.1273,70237
383,0.1277,70279
384,0.1280,70116
385,0.1283,70144
386,0.1287,70151
387,0.1290,70130
388,0.1293,70165
389,0.1297,70275
390,0.1300,70264
391,0.1303,70286
392,0.1307,70175
393,0.1310,70224
394,0.1313,70283
395,0.1317,70296
396,0.1320,70283
397,0.1323,70415
398,0.1327,70257
399,0.1330,70320
400,0.1333,70083
401,0.1337,70223
402,0.1340,70171
403,0.1343,70244
404,0.1347,70187
405,0.1350,70409
406,0.1353,70265
407,0.1357,70345
408,0.1360,70143
409,0.1363,70248
410,0.1367,70248
411,0.1370,70292
412,0.1373,70368
413,0.1377,70466
414,0.1380,70360
415,0.1383,70268
416,0.1387,70107
417,0.1390,70168
418,0.1393,70182
419,0.1397,70159
420,0.1400,70295
421,0.1403,70178
422,0.1407,70210
423,0.1410,70114
424,0.1413,70225
425,0.1417,70290
426,0.1420,70212
427,0.1423,70377
428,0.1427,70216
429,0.1430,70228
430,0.1433,70011
431,0.1437,70091
432,0.1440,70062
433,0.1443,70105
434,0.1447,70281
435,0.1450,70240
436,0.1453,70255
437,0.1457,70128
438,0.1460,70207
439,0.1463,70179
440,0.1467,70228
441,0.1470,70234
442,0.1473,70470
443,0.1477,70313
444,0.1480,70394
445,0.1483,70225
446,0.1487,70312
447,0.1490,70190
448,0.1493,70312
449,0.1497,70261
450,0.1500,70278
451,0.1503,70103
452,0.1507,70124
453,0.1510,70167
454,0.1513,70166
455,0.1517,70321
456,0.1520,70205
457,0.1523,70240
458,0.1527,70088
459,0.1530,70219
460,0.1533,70218
461,0.1537,70261
462,0.1540,70415
463,0.1543,70312
464,0.1547,70331
465,0.1550,70135
466,0.1553,70229
467,0.1557,70191
468,0.1560,70376
469,0.1563,70263
470,0.1567,70276
471,0.1570,70039
472,0.1573,70172
473,0.1577,70158
474,0.1580,70168
475,0.1583,70223
476,0.1587,70121
477,0.1590,70134
478,0.1593,70007
479,0.1597,70144
480,0.1600,70144
481,0.1603,70188
482,0.1607,70280
483,0.1610,70265
484,0.1613,70262
485,0.1617,70143
486,0.1620,70141
487,0.1623,70179
488,0.1627,70305
489,0.1630,70240
490,0.1633,70185
491,0.1637,70009
492,0.1640,70121
493,0.1643,70114
494,0.1647,70197
495,0.1650,70382
496,0.1653,70345
497,0.1657,70266
498,0.1660,70077
499,0.1663,70086
500,0.1667,70101
501,0.1670,70276
502,0.1673,70245
503,0.1677,70203
504,0.1680,70033
505,0.1683,70094
506,0.1687,70095
507,0.1690,70221
508,0.1693,70140
509,0.1697,70223
510,0.1700,70066
511,0.1703,70157
512,0.1707,70151
513,0.1710,70158
514,0.1713,70295
515,0.1717,70225
516,0.1720,70205
517,0.1723,70115
518,0.1727,70228
519,0.1730,70292
520,0.1733,70482
521,0.1737,70351
522,0.1740,70361
523,0.1743,70148
524,0.1747,70274
525,0.1750,70229
526,0.1753,70452
527,0.1757,70335
528,0.1760,70419
529,0.1763,70223
530,0.1767,70329
531,0.1770,70282
532,0.1773,70418
533,0.1777,70336
534,0.1780,70286
535,0.1783,70148
536,0.1787,70149
537,0.1790,70167
538,0.1793,70271
539,0.1797,70230
540,0.1800,70235
541,0.1803,70141
542,0.1807,70259
543,0.1810,70296
544,0.1813,70406
545,0.1817,70262
546,0.1820,70226
547,0.1823,70023
548,0.1827,70157
549,0.1830,70143
550,0.1833,70366
551,0.1837,70242
552,0.1840,70291
553,0.1843,70104
554,0.1847,70234
555,0.1850,70205
556,0.1853,70386
557,0.1857,70264
558,0.1860,70284
559,0.1863,70082
560,0.1867,70160
561,0.1870,70088
562,0.1873,70250
563,0.1877,70226
564,0.1880,70282
565,0.1883,70159
566,0.1887,70155
567,0.1890,70164
568,0.1893,70292
569,0.1897,70330
570,0.1900,70282
571,0.1903,70193
572,0.1907,70175
573,0.1910,70198
574,0.1913,70316
575,0.1917,70270
576,0.1920,70250
577,0.1923,70092
578,0.1927,70152
579,0.1930,70176
580,0.1933,70393
581,0.1937,70326
582,0.1940,70355
583,0.1943,70121
584,0.1947,70225
585,0.1950,70198
586,0.1953,70356
587,0.1957,70177
588,0.1960,70186
589,0.1963,70033
590,0.1967,70198
591,0.1970,70146
592,0.1973,70340
593,0.1977,70202
594,0.1980,70321
595,0.1983,70144
596,0.1987,70302
597,0.1990,70290
598,0.1993,70279
599,0.1997,70429
600,0.2000,70299
601,0.2003,70275
602,0.2007,69999
603,0.2010,70085
604,0.2013,70105
605,0.2017,70377
606,0.2020,70275
607,0.2023,70302
608,0.2027,70093
609,0.2030,70177
610,0.2033,70199
611,0.2037,70408
612,0.2040,70365
613,0.2043,70316
614,0.2047,70149
615,0.2050,70174
616,0.2053,70227
617,0.2057,70374
618,0.2060,70335
619,0.2063,70332
620,0.2067,70194
621,0.2070,70243
622,0.2073,70222
623,0.2077,70311
624,0.2080,70235
625,0.2083,70213
626,0.2087,70085
627,0.2090,70173
628,0.2093,70324
629,0.2097,70313
630,0.2100,70339
631,0.2103,70240
632,0.2107,70251
633,0.2110,70243
634,0.2113,70318
635,0.2117,70241
636,0.2120,70212
637,0.2123,70124
638,0.2127,70192
639,0.2130,70262
640,0.2133,70387
641,0.2137,70346
642,0.2140,70306
643,0.2143,70109
644,0.2147,70212
645,0.2150,70330
646,0.2153,70348
647,0.2157,70378
648,0.2160,70298
649,0.2163,70339
650,0.2167,70306
651,0.2170,70374
652,0.2173,70267
653,0.2177,70231
654,0.2180,70103
655,0.2183,70166
656,0.2187,70325
657,0.2190,70232
658,0.2193,70290
659,0.2197,70137
660,0.2200,70222
661,0.2203,70218
662,0.2207,70303
663,0.2210,70225
664,0.2213,70155
665,0.2217,70046
666,0.2220,70106
667,0.2223,70295
668,0.2227,70239
669,0.2230,70342
670,0.2233,70187
671,0.2237,70239
672,0.2240,70134
673,0.2243,70300
674,0.2247,70233
675,0.2250,70264
676,0.2253,70134
677,0.2257,70203
678,0.2260,70208
679,0.2263,70311
680,0.2267,70280
681,0.2270,70245
682,0.2273,70112
683,0.2277,70129
684,0.2280,70338
685,0.2283,70247
686,0.2287,70344
687,0.2290,70113
688,0.2293,70199
689,0.2297,70111
690,0.2300,70262
691,0.2303,70176
692,0.2307,70198
693,0.2310,70094
694,0.2313,70176
695,0.2317,70377
696,0.2320,70277
697,0.2323,70310
698,0.2327,70058
699,0.2330,70168
700,0.2333,70135
701,0.2337,70373
702,0.2340,70284
703,0.2343,70330
704,0.2347,70087
705,0.2350,70179
706,0.2353,70255
707,0.2357,70273
708,0.2360,70279
709,0.2363,70231
710,0.2367,70368
711,0.2370,70384
712,0.2373,70514
713,0.2377,70348
714,0.2380,70357
715,0.2383,70128
716,0.2387,70239
717,0.2390,70373
718,0.2393,70393
719,0.2397,70376
720,0.2400,70248
721,0.2403,70292
722,0.2407,70317
723,0.2410,70341
724,0.2413,70231
725,0.2417,70214
726,0.2420,70167
727,0.2423,70276
728,0.2427,70259
729,0.2430,70403
730,0.2433,70291
731,0.2437,70280
732,0.2440,70085
733,0.2443,70145
734,0.2447,70236
735,0.2450,70167
736,0.2453,70154
737,0.2457,70070
738,0.2460,70199
739,0.2463,70292
740,0.2467,70373
741,0.2470,70276
742,0.2473,70214
743,0.2477,70126
744,0.2480,70229
745,0.2483,70372
746,0.2487,70322
747,0.2490,70318
748,0.2493,70170
749,0.2497,70212
