#"FID1 - B:Signal #1 LEO_027_1eq_04h.D"
#Point,X(Minutes),Y(Response Units)
0,0.0000,69783
1,0.0003,69743
2,0.0007,69659
3,0.0010,69593
4,0.0013,69597
5,0.0017,69602
6,0.0020,69575
7,0.0023,69581
8,0.0027,69647
9,0.0030,69729
10,0.0033,69749
11,0.0037,69741
12,0.0040,69730
13,0.0043,69753
14,0.0047,69722
15,0.0050,69709
16,0.0053,69693
17,0.0057,69718
18,0.0060,69765
19,0.0063,69788
20,0.0067,69828
21,0.0070,69772
22,0.0073,69862
23,0.0077,69705
24,0.0080,69713
25,0.0083,69598
26,0.0087,69738
27,0.0090,69686
28,0.0093,69740
29,0.0097,69583
30,0.0100,69818
31,0.0103,69546
32,0.0107,69707
33,0.0110,69576
34,0.0113,69780
35,0.0117,69741
36,0.0120,69630
37,0.0123,69615
38,0.0127,69745
39,0.0130,69755
40,0.0133,69723
41,0.0137,69585
42,0.0140,69518
43,0.0143,69668
44,0.0147,69698
45,0.0150,69954
46,0.0153,69794
47,0.0157,69641
48,0.0160,69442
49,0.0163,69491
50,0.0167,69732
51,0.0170,69676
52,0.0173,69586
53,0.0177,69375
54,0.0180,69571
55,0.0183,69648
56,0.0187,69815
57,0.0190,69648
58,0.0193,69663
59,0.0197,69574
60,0.0200,69725
61,0.0203,69667
62,0.0207,69711
63,0.0210,69675
64,0.0213,69757
65,0.0217,69691
66,0.0220,69622
67,0.0223,69593
68,0.0227,69781
69,0.0230,69764
70,0.0233,69761
71,0.0237,69560
72,0.0240,69618
73,0.0243,69629
74,0.0247,69709
75,0.0250,69686
76,0.0253,69755
77,0.0257,69600
78,0.0260,69599
79,0.0263,69548
80,0.0267,69675
81,0.0270,69691
82,0.0273,69612
83,0.0277,69568
84,0.0280,69649
85,0.0283,69601
86,0.0287,69634
87,0.0290,69553
88,0.0293,69650
89,0.0297,69699
90,0.0300,69724
91,0.0303,69843
92,0.0307,69706
93,0.0310,69711
94,0.0313,69588
95,0.0317,69685
96,0.0320,69637
97,0.0323,69674
98,0.0327,69827
99,0.0330,69795
100,0.0333,69852
101,0.0337,69757
102,0.0340,69807
103,0.0343,69729
104,0.0347,69623
105,0.0350,69736
106,0.0353,69688
107,0.0357,69799
108,0.0360,69681
109,0.0363,69741
110,0.0367,69662
111,0.0370,69696
112,0.0373,69803
113,0.0377,69747
114,0.0380,69716
115,0.0383,69617
116,0.0387,69673
117,0.0390,69707
118,0.0393,69706
119,0.0397,69862
120,0.0400,69731
121,0.0403,69726
122,0.0407,69557
123,0.0410,69645
124,0.0413,69650
125,0.0417,69723
126,0.0420,69920
127,0.0423,69810
128,0.0427,69761
129,0.0430,69538
130,0.0433,69596
131,0.0437,69613
132,0.0440,69713
133,0.0443,69873
134,0.0447,69807
135,0.0450,69792
136,0.0453,69701
137,0.0457,69811
138,0.0460,69885
139,0.0463,70034
140,0.0467,69909
141,0.0470,69814
142,0.0473,69656
143,0.0477,69695
144,0.0480,69688
145,0.0483,69714
146,0.0487,69879
147,0.0490,69755
148,0.0493,69709
149,0.0497,69562
150,0.0500,69706
151,0.0503,69729
152,0.0507,69729
153,0.0510,69881
154,0.0513,69784
155,0.0517,69737
156,0.0520,69521
157,0.0523,69587
158,0.0527,69651
159,0.0530,69689
160,0.0533,69856
161,0.0537,69798
162,0.0540,69822
163,0.0543,69674
164,0.0547,69726
165,0.0550,69725
166,0.0553,69721
167,0.0557,69869
168,0.0560,69748
169,0.0563,69734
170,0.0567,69562
171,0.0570,69675
172,0.0573,69691
173,0.0577,69714
174,0.0580,69729
175,0.0583,69823
176,0.0587,69741
177,0.0590,69695
178,0.0593,69591
179,0.0597,69673
180,0.0600,69719
181,0.0603,69726
182,0.0607,69896
183,0.0610,69852
184,0.0613,69899
185,0.0617,69704
186,0.0620,69705
187,0.0623,69649
188,0.0627,69663
189,0.0630,69813
190,0.0633,69722
191,0.0637,69709
192,0.0640,69588
193,0.0643,69685
194,0.0647,69762
195,0.0650,69783
196,0.0653,69984
197,0.0657,69869
198,0.0660,69836
199,0.0663,69636
200,0.0667,69676
201,0.0670,69740
202,0.0673,69758
203,0.0677,69781
204,0.0680,69839
205,0.0683,69763
206,0.0687,69806
207,0.0690,69716
208,0.0693,69758
209,0.0697,69751
210,0.0700,69726
211,0.0703,69782
212,0.0707,69882
213,0.0710,69778
214,0.0713,69701
215,0.0717,69549
216,0.0720,69591
217,0.0723,69614
218,0.0727,69623
219,0.0730,69692
220,0.0733,69852
221,0.0737,69806
222,0.0740,69815
223,0.0743,69724
224,0.0747,69828
225,0.0750,69854
226,0.0753,69837
227,0.0757,69933
228,0.0760,69835
229,0.0763,69812
230,0.0767,69670
231,0.0770,69710
232,0.0773,69718
233,0.0777,69742
234,0.0780,69745
235,0.0783,69830
236,0.0787,69726
237,0.0790,69754
238,0.0793,69630
239,0.0797,69685
240,0.0800,69666
241,0.0803,69660
242,0.0807,69687
243,0.0810,69841
244,0.0813,69821
245,0.0817,69848
246,0.0820,69717
247,0.0823,69769
248,0.0827,69772
249,0.0830,69813
250,0.0833,69846
251,0.0837,69821
252,0.0840,69886
253,0.0843,69768
254,0.0847,69731
255,0.0850,69600
256,0.0853,69698
257,0.0857,69754
258,0.0860,69763
259,0.0863,69771
260,0.0867,69887
261,0.0870,69827
262,0.0873,69806
263,0.0877,69700
264,0.0880,69746
265,0.0883,69760
266,0.0887,69724
267,0.0890,69745
268,0.0893,69819
269,0.0897,69717
270,0.0900,69713
271,0.0903,69651
272,0.0907,69759
273,0.0910,69806
274,0.0913,69780
275,0.0917,69794
276,0.0920,69756
277,0.0923,69839
278,0.0927,69738
279,0.0930,69714
280,0.0933,69593
281,0.0937,69633
282,0.0940,69649
283,0.0943,69667
284,0.0947,69709
285,0.0950,69783
286,0.0953,69707
287,0.0957,69706
288,0.0960,69643
289,0.0963,69764
290,0.0967,69799
291,0.0970,69794
292,0.0973,69772
293,0.0977,69845
294,0.0980,69737
295,0.0983,69732
296,0.0987,69620
297,0.0990,69683
298,0.0993,69730
299,0.0997,69713
300,0.1000,69745
301,0.1003,69696
302,0.1007,69837
303,0.1010,69676
304,0.1013,69658
305,0.1017,69539
306,0.1020,69727
307,0.1023,69823
308,0.1027,69839
309,0.1030,69801
310,0.1033,69838
311,0.1037,69774
312,0.1040,69773
313,0.1043,69669
314,0.1047,69740
315,0.1050,69845
316,0.1053,69869
317,0.1057,69860
318,0.1060,69865
319,0.1063,69781
320,0.1067,69757
321,0.1070,69665
322,0.1073,69688
323,0.1077,69710
324,0.1080,69716
325,0.1083,69742
326,0.1087,69727
327,0.1090,69843
328,0.1093,69758
329,0.1097,69809
330,0.1100,69701
331,0.1103,69809
332,0.1107,69768
333,0.1110,69755
334,0.1113,69681
335,0.1117,69802
336,0.1120,69686
337,0.1123,69766
338,0.1127,69604
339,0.1130,69736
340,0.1133,69688
341,0.1137,69730
342,0.1140,69830
343,0.1143,69813
344,0.1147,69784
345,0.1150,69705
346,0.1153,69730
347,0.1157,69735
348,0.1160,69676
349,0.1163,69697
350,0.1167,69866
351,0.1170,69781
352,0.1173,69734
353,0.1177,69555
354,0.1180,69648
355,0.1183,69658
356,0.1187,69700
357,0.1190,69647
358,0.1193,69806
359,0.1197,69655
